id;data;descrizione;riferimento;importo
115693;2025-04-24;Arpaia Spa;6809ea44-b6ed-a833-bf04-92d0367a01cc;263.03
115927;2025-05-22;Arpaia Spa;682ec8bf-b1b3-a342-a281-79c98140c5cd;142.03
116177;2025-06-09;Arpaia Spa;6846870d-404e-af4a-bf4e-a801f6e7af19;104.36
116185;2025-06-10;Arpaia Spa;68484b32-de21-a243-81ad-fada18e57223;262.31
116255;2025-06-19;Arpaia Spa;6853cc85-e4df-a854-9418-e6e527838706;304.16
116259;2025-06-19;Arpaia Spa;6853cbbe-833c-a8a4-b316-2145e9778d12;71.02
116397;2025-06-25;Arpaia Spa;685ba587-6f89-a0e4-8926-2a91793bde63;414.63
116581;2025-07-10;Arpaia Spa;686fbc87-41f7-a7fb-86c8-4a54fc4785af;464.84
116579;2025-07-10;Arpaia Spa;686fb862-e13f-af7d-a409-ebfb6f7d9aa1;358.09
116685;2025-07-16;Arpaia Spa;68775c75-8fb2-ab39-8f69-d730020a8650;213.06
116737;2025-07-21;Arpaia Spa;687e1afa-58a6-a3a0-aa58-35f6f9f72292;11.71
117199;2025-09-02;Arpaia Spa;68b7039d-001a-ae82-abc8-ba36320f98e7;1118.53
117293;2025-09-10;Arpaia Spa;68c1828a-03bc-ac5a-b0b4-bc8f1c79f7e0;492.16
117377;2025-09-12;Arpaia Spa;68c427f9-70b7-aa33-aa68-80ae7487305e;310.14
117367;2025-09-12;Arpaia Spa;68c3d496-aea7-a728-a43f-fd5569580eb4;355.09
117397;2025-09-16;Arpaia Spa;68c925a5-46a4-ad74-aa1c-b64bec7e88bb;528.70
117511;2025-09-24;Arpaia Spa;68d39eec-dcad-af60-a39d-b91c2546ece2;78.08
117509;2025-09-24;Arpaia Spa;68d39e5c-de9e-afcd-9e16-109ef74d2416;1116.97
117517;2025-09-24;Arpaia Spa;68d39e86-1685-aa11-9173-a97cb232a167;213.06
117513;2025-09-24;Arpaia Spa;68d3b67d-8ab2-a0de-830a-b68cd0901606;740.00
117741;2025-10-14;Arpaia Spa;68ee62b2-a821-a492-86be-0a11adb22ef9;63.38
117829;2025-10-22;Arpaia Spa;68f89def-1cfc-a36a-afec-b6972fc249a1;26.41
117821;2025-10-22;Arpaia Spa;68f89e24-d643-a10c-b467-cb22df731bf7;213.06
117881;2025-10-28;Arpaia Spa;690097ed-fa10-a9a4-8a66-899c2cfb4cc8;94.61
117879;2025-10-28;Arpaia Spa;6900982e-07b7-a5c0-bd39-07970d88bc27;1107.46
117911;2025-10-29;Arpaia Spa;69023ebc-81e4-acfb-85eb-f822973b7c58;123.74
117903;2025-10-29;Arpaia Spa;690237e5-54cf-a5f4-a706-12f185578b41;74.73
118265;2025-11-25;Arpaia Spa;6925b9a8-8ea5-a9d0-bb23-9734b823ae0f;1669.69
118293;2025-12-03;Arpaia Spa;692ff0c9-fb39-a0c8-a10c-34bf3b208e9f;258.25
118687;2025-12-22;Arpaia Spa;694905dc-84a2-a3da-861f-f1495f3211b4;243.90
118705;2025-12-22;Arpaia Spa;69490510-f3d0-ac4c-8056-c1a35f24dba3;243.90
118689;2025-12-22;Arpaia Spa;694905bf-d7e5-a154-9969-c96146082814;205.64
118691;2025-12-22;Arpaia Spa;6949059b-ae53-a9b1-be63-bb4d3b30a653;14.95
118697;2025-12-22;Arpaia Spa;69490548-a744-ae05-b717-517fcdf9b1b0;401.72
118699;2025-12-22;Arpaia Spa;6949052e-cc09-acb2-9c53-e9487d52f7fc;213.41
118695;2025-12-22;Arpaia Spa;69490562-b990-a641-9da4-14e6b82d6fee;143.47
118685;2025-12-22;Arpaia Spa;6949062a-bdc7-a2fd-8cd4-2e030bdd338a;142.03
118693;2025-12-22;Arpaia Spa;6949057e-aba7-a088-afdc-2a8c16571742;284.08
118739;2025-12-23;Arpaia Spa;694abcca-6d0b-aad5-bde7-6106b5319760;834.82
118791;2025-12-29;Arpaia Spa;695284bd-26a8-aaf7-b924-f94b28f4674e;502.14
118807;2025-12-30;Arpaia Spa;69539850-78bb-a4ae-b9c5-9ad28caab50a;2035.07
119193;2026-01-27;Arpaia Spa;6978c569-6626-acd8-920f-ebf934e1d083;2074.03
119525;2026-03-17;Arpaia Spa;69b902fe-5fcd-ac3a-b337-c60a6c3c67d3;48.00
119549;2026-03-18;Arpaia Spa;69ba713b-a2ca-a936-90a8-0fdf5f52f3e6;985.17
119563;2026-03-18;Arpaia Spa;69ba716f-3643-adba-9167-da3a722617c7;478.24
119559;2026-03-18;Arpaia Spa;69ba71c8-e61b-a80c-8fca-231dd90a744a;41.85
119561;2026-03-18;Arpaia Spa;69ba718e-37ff-a399-98df-781837d3a070;143.47
119557;2026-03-18;Arpaia Spa;69ba71ed-8385-ac9e-ba7b-56b00f9d40dd;123.74
119565;2026-03-18;Arpaia Spa;69ba70b1-96c1-a227-b61b-63a2639132af;3077.93
119825;2026-03-31;Arpaia Spa;69cbdf64-df1f-a983-9fd2-9286230e1aad;632.11
119835;2026-03-31;Arpaia Spa;69cbde82-274d-ad4a-8c51-dc8b8175676d;174.46
119823;2026-03-31;Arpaia Spa;69cbdea8-86a1-a7f4-8a66-e98ca577b849;239.73
119817;2026-03-31;Arpaia Spa;69cbde4b-db81-a65e-8ffc-85f672d2f1dd;843.46
119819;2026-03-31;Arpaia Spa;69cbde63-2acf-ad6b-8fbb-f9076aab2a5b;70.76
119937;2026-04-07;Arpaia Spa;69d4b9b9-5c78-af56-a8d0-3bb733ac16f7;298.22
